collected_at,kai_id,threads_media_id,permalink,published_at,format,topic,topic_tag,snapshot_label,age_hours,views,likes,replies,reposts,quotes,shares,like_rate,reply_rate,share_rate,weighted_score
2026-08-01 10:18:04,,18110888189001312,https://www.threads.com/@kai.fukuen/post/DbX9X4AFjqF,2026-07-29 11:01:55,three_choice,復縁可能性,,24h,71.26925136166666,67,1,3,0,0,0,0.014925373134328358,0.04477611940298507,0.0,0.19402985074626863
2026-08-01 10:18:04,,18015131735873856,https://www.threads.com/@kai.fukuen/post/DbZI44PGw22,2026-07-29 22:01:06,psychology,不安,,24h,60.282941843611106,37,1,0,0,0,0,0.02702702702702703,0.0,0.0,0.02702702702702703
2026-08-01 10:18:05,,17868548667588134,https://www.threads.com/@kai.fukuen/post/DbZrN2flG8z,2026-07-30 03:01:02,poll,復縁の悩み,,24h,55.28411655055555,585,12,29,0,0,0,0.020512820512820513,0.04957264957264957,0.0,0.2188034188034188
2026-08-01 10:18:05,,18067142081743417,https://www.threads.com/@kai.fukuen/post/DbaiKbulKEi,2026-07-30 11:01:47,three_choice,彼からの連絡,,24h,47.27168012083334,1173,30,17,0,0,0,0.02557544757033248,0.014492753623188406,0.0,0.08354646206308611
2026-08-01 10:18:05,,18076335035366564,https://www.threads.com/@kai.fukuen/post/DbbulsQCVkt,2026-07-30 22:09:01,story,連絡の失敗,,24h,36.15118437444444,79,1,0,0,0,0,0.012658227848101266,0.0,0.0,0.012658227848101266
2026-08-01 10:18:05,,18607189879059154,https://www.threads.com/@kai.fukuen/post/DbcQBpQFJDs,2026-07-31 03:01:11,event_today,月末,,24h,31.281818205833332,21,0,0,0,0,0,0.0,0.0,0.0,0.0
2026-08-01 15:38:11,,18110888189001312,https://www.threads.com/@kai.fukuen/post/DbX9X4AFjqF,2026-07-29 11:01:55,three_choice,復縁可能性,,72h,76.6045821011111,67,1,3,0,0,0,0.014925373134328358,0.04477611940298507,0.0,0.19402985074626863
2026-08-01 15:38:12,KAI-001,18171237469439573,https://www.threads.com/@kai.fukuen/post/DbdG8TIIDSv,2026-07-31 11:01:40,three_choice,8月の関係変化,タロット占い,24h,28.608879760555556,31,1,3,0,0,0,0.03225806451612903,0.0967741935483871,0.0,0.4193548387096774
2026-08-02 07:42:04,,18015131735873856,https://www.threads.com/@kai.fukuen/post/DbZI44PGw22,2026-07-29 22:01:06,psychology,不安,,72h,81.68271858694445,37,1,0,0,0,0,0.02702702702702703,0.0,0.0,0.02702702702702703
2026-08-02 07:42:04,,17868548667588134,https://www.threads.com/@kai.fukuen/post/DbZrN2flG8z,2026-07-30 03:01:02,poll,復縁の悩み,,72h,76.68390635527777,589,12,29,0,0,0,0.02037351443123939,0.04923599320882852,0.0,0.21731748726655348
2026-08-02 07:42:04,KAI-002,17953143633203302,https://www.threads.com/@kai.fukuen/post/DbeSfpLgc6y,2026-07-31 22:01:18,empathy,月初の未練,復縁,24h,33.67951465361111,212,21,0,0,0,0,0.09905660377358491,0.0,0.0,0.09905660377358491
2026-08-02 07:42:04,KAI-003,17983639295864360,https://www.threads.com/@kai.fukuen/post/Dbe0z57AI-T,2026-08-01 03:01:09,daily_tarot,今月の判断軸,恋愛相談,24h,28.682056982777777,58,5,3,0,0,0,0.08620689655172414,0.05172413793103448,0.0,0.2931034482758621
